Date,Open,High,Low,Close,Adj Close,Volume
2023-02-02,294.5,306.5,293.0,304.5,304.5,5437
2023-02-03,303.5,310.0,299.0,308.5,308.5,3876
2023-02-06,307.0,308.0,304.0,307.0,307.0,1913
2023-02-07,306.5,310.0,305.0,306.0,306.0,2018
2023-02-08,306.5,312.0,300.5,303.0,303.0,2714
2023-02-09,303.0,309.0,303.0,306.0,306.0,2363
2023-02-10,306.0,306.0,296.0,296.5,296.5,2481
2023-02-13,296.5,301.5,295.0,300.5,300.5,2091
2023-02-14,300.5,306.5,300.0,305.0,305.0,1291
2023-02-15,304.0,306.0,301.0,301.0,301.0,3423
2023-02-16,302.5,302.5,292.5,292.5,292.5,2756
2023-02-17,288.0,294.0,286.5,292.5,292.5,3503
2023-02-20,291.5,302.5,291.5,300.0,300.0,1757
2023-02-21,300.5,303.5,299.5,301.5,301.5,4948
2023-02-22,301.5,301.5,296.0,299.5,299.5,3859
2023-02-23,299.5,303.5,299.0,299.0,299.0,1815
2023-02-24,298.5,301.0,297.0,297.5,297.5,1435
2023-02-27,297.5,299.0,296.5,297.5,297.5,1662
2023-02-28,297.0,304.0,294.0,304.0,304.0,7574
2023-03-01,301.5,302.5,298.0,298.0,298.0,1656
2023-03-02,297.5,304.5,296.0,303.5,303.5,2732
2023-03-03,303.5,306.5,303.5,305.0,305.0,1755
2023-03-06,308.0,309.5,297.0,299.0,299.0,2992
2023-03-07,298.0,300.5,295.0,296.5,296.5,1899
2023-03-08,296.5,298.0,295.0,297.5,297.5,1513
2023-03-09,297.0,299.5,296.0,297.5,297.5,1566
2023-03-10,297.5,297.5,293.0,295.0,295.0,2302
2023-03-13,294.0,296.0,284.0,285.0,285.0,4889
2023-03-14,285.0,292.5,285.0,289.5,289.5,2633
2023-03-15,290.0,290.0,280.5,281.5,281.5,2347
2023-03-16,285.0,285.0,270.0,274.5,274.5,10475
2023-03-17,276.0,276.5,264.0,264.5,264.5,8683
2023-03-20,263.5,266.5,254.5,264.0,264.0,5671
2023-03-21,264.5,270.0,264.0,267.0,267.0,3962
2023-03-22,269.0,269.0,264.0,268.0,268.0,2764
2023-03-23,267.5,273.0,264.0,272.0,272.0,2629
2023-03-24,272.0,272.0,266.5,270.5,270.5,3640
2023-03-27,270.5,271.5,262.0,262.0,262.0,2617
2023-03-28,262.0,264.0,254.0,254.0,254.0,3476
2023-03-29,254.0,263.0,252.5,262.0,262.0,6038
2023-03-30,264.0,274.5,264.0,272.5,272.5,3070
2023-03-31,272.5,276.0,272.0,274.0,274.0,2316
2023-04-03,274.0,275.5,271.0,275.0,275.0,3006
2023-04-04,275.0,278.0,272.5,273.5,273.5,2551
2023-04-05,274.0,276.0,271.0,271.0,271.0,3262
2023-04-06,272.0,274.0,270.5,273.5,273.5,2129
2023-04-11,274.0,281.0,274.0,279.5,279.5,2494
2023-04-12,279.5,280.0,274.5,274.5,274.5,1455
2023-04-13,276.0,277.0,273.5,274.0,274.0,1191
2023-04-14,274.0,283.5,274.0,283.0,283.0,3074
2023-04-17,286.5,290.5,282.0,284.0,284.0,2974
2023-04-18,284.5,284.5,281.0,282.5,282.5,1424
2023-04-19,283.0,284.0,280.5,282.5,282.5,1964
2023-04-20,284.0,285.5,282.0,282.0,282.0,1913
2023-04-21,282.0,284.5,280.5,284.0,284.0,1470
2023-04-24,284.0,286.0,282.0,282.0,282.0,1595
2023-04-25,276.5,276.5,264.0,265.0,265.0,5398
2023-04-26,265.0,271.0,265.0,267.0,267.0,4890
2023-04-27,267.0,269.5,263.5,264.5,264.5,3700
2023-04-28,264.5,267.0,264.0,266.5,266.5,2668
2023-05-02,266.5,271.0,264.5,266.5,266.5,2921
2023-05-03,267.0,267.5,264.5,265.0,265.0,2022
2023-05-04,265.0,266.5,260.5,263.0,263.0,4953
2023-05-05,263.0,269.5,261.0,269.5,269.5,2502
2023-05-08,270.0,270.0,261.5,266.0,266.0,5671
2023-05-09,267.0,271.5,266.0,271.0,271.0,1941
2023-05-10,271.5,271.5,264.5,266.0,266.0,2816
2023-05-11,265.0,274.5,265.0,274.0,274.0,2802
2023-05-12,273.0,273.0,267.0,268.5,268.5,2161
2023-05-15,268.5,271.0,268.0,268.5,268.5,2171
2023-05-16,268.5,269.0,265.0,267.0,267.0,2007
2023-05-17,266.5,268.5,265.0,265.0,265.0,2457
2023-05-18,266.0,266.0,259.0,259.5,259.5,2317
2023-05-19,261.0,264.5,260.0,263.0,263.0,3755
2023-05-22,263.0,265.0,261.5,263.5,263.5,2020
2023-05-23,264.0,268.5,262.0,266.0,266.0,1761
2023-05-24,266.5,266.5,259.5,259.5,259.5,2125
2023-05-25,260.5,260.5,256.0,256.0,256.0,1297
2023-05-26,256.0,259.0,255.0,258.0,258.0,1381
2023-05-29,258.5,258.5,254.5,254.5,254.5,781
2023-05-30,254.5,255.5,252.0,252.0,252.0,1950
2023-05-31,252.0,252.5,249.5,250.0,250.0,3784
2023-06-01,250.5,250.5,247.5,249.0,249.0,3227
2023-06-02,250.0,258.0,248.5,255.0,255.0,3016
2023-06-05,256.5,257.5,253.5,254.5,254.5,1210
2023-06-06,254.5,256.0,250.5,251.0,251.0,1786
2023-06-07,251.5,256.0,249.5,254.0,254.0,1548
2023-06-08,257.0,257.5,253.5,255.5,255.5,3141
2023-06-09,256.5,263.0,253.0,262.0,262.0,1812
2023-06-12,263.0,266.0,261.0,264.5,264.5,1996
2023-06-13,264.5,267.0,262.5,263.5,263.5,2273
2023-06-14,264.0,268.0,263.0,264.0,264.0,2713
2023-06-15,264.0,264.0,260.5,260.5,260.5,1759
2023-06-16,260.5,264.5,259.0,259.0,259.0,4074
2023-06-19,259.0,259.5,256.0,256.0,256.0,1190
2023-06-20,257.5,258.0,255.5,257.0,257.0,2157
2023-06-21,257.5,258.0,255.5,258.0,258.0,1475
2023-06-22,258.5,259.0,256.0,259.0,259.0,1451
2023-06-23,257.5,261.0,257.0,260.0,260.0,3041
2023-06-26,261.0,263.5,258.5,260.0,260.0,3440
2023-06-27,267.0,273.0,267.0,270.0,270.0,2894
2023-06-28,270.5,275.0,270.0,274.0,274.0,1873
2023-06-29,273.5,273.5,270.0,270.0,270.0,1805
2023-06-30,271.0,273.0,267.0,270.0,270.0,4103
2023-07-03,270.5,271.5,265.0,266.5,266.5,1595
2023-07-04,266.5,273.0,266.0,271.5,271.5,1312
2023-07-05,272.0,274.5,270.5,273.0,273.0,1353
2023-07-06,272.5,272.5,267.0,267.5,267.5,1613
2023-07-07,269.5,271.0,267.0,271.0,271.0,1809
2023-07-10,270.0,274.0,269.0,271.0,271.0,1522
2023-07-11,271.5,276.0,271.0,271.5,271.5,2492
2023-07-12,272.5,277.5,272.0,277.5,277.5,1136
2023-07-13,278.0,278.0,273.5,276.0,276.0,2289
2023-07-14,277.0,278.0,276.0,277.0,277.0,341
2023-07-17,277.5,277.5,269.0,270.0,270.0,1091
2023-07-18,270.5,271.5,267.0,267.0,267.0,831
2023-07-19,269.0,269.5,263.0,264.0,264.0,1899
2023-07-20,264.5,264.5,261.5,262.0,262.0,1519
2023-07-21,262.5,264.5,258.0,263.0,263.0,2537
2023-07-24,263.5,263.5,259.5,259.5,259.5,706
2023-07-25,255.0,260.5,250.0,256.5,256.5,6613
2023-07-26,254.5,258.0,254.0,255.5,255.5,3065
2023-07-27,256.5,258.0,254.5,256.0,256.0,7660
2023-07-28,256.5,257.5,254.5,257.5,257.5,5530
2023-07-31,257.5,264.0,257.5,261.0,261.0,1377
2023-08-01,261.0,261.0,255.0,256.0,256.0,1521
2023-08-02,256.0,257.0,250.0,250.0,250.0,1942
2023-08-03,251.5,251.5,245.5,249.5,249.5,1942
2023-08-04,249.5,249.5,244.0,245.5,245.5,1574
2023-08-07,246.5,248.5,245.0,248.5,248.5,4164
2023-08-08,248.0,249.5,245.5,246.5,246.5,1020
2023-08-09,247.0,248.0,245.5,245.5,245.5,958
2023-08-10,246.0,247.5,244.5,246.0,246.0,863
2023-08-11,246.0,246.0,241.0,242.5,242.5,2545
2023-08-14,243.0,244.5,240.5,244.0,244.0,3046
2023-08-15,244.0,248.0,243.5,247.0,247.0,1088
2023-08-16,247.0,248.5,246.5,247.5,247.5,2648
2023-08-17,248.5,248.5,243.5,243.5,243.5,1486
2023-08-18,244.0,244.0,241.5,242.5,242.5,1097
2023-08-21,242.0,243.5,238.0,238.0,238.0,1258
2023-08-22,238.0,246.0,238.0,241.0,241.0,2415
2023-08-23,241.5,244.5,240.5,242.0,242.0,1542
2023-08-24,242.0,243.5,238.0,238.0,238.0,2033
2023-08-25,239.0,240.0,236.0,236.0,236.0,1278
2023-08-28,236.0,240.0,236.0,239.5,239.5,698
2023-08-29,239.5,242.0,239.5,242.0,242.0,1529
2023-08-30,242.5,244.0,239.0,241.0,241.0,2441
2023-08-31,241.5,244.5,239.0,240.5,240.5,8046
2023-09-01,241.0,257.5,239.5,254.5,254.5,5400
2023-09-04,255.0,260.5,255.0,259.0,259.0,1841
2023-09-05,260.0,261.0,257.0,260.0,260.0,1295
2023-09-06,260.0,260.0,250.5,250.5,250.5,2537
2023-09-07,250.5,253.5,250.5,252.5,252.5,2337
2023-09-08,253.0,257.0,253.0,254.5,254.5,2313
2023-09-11,254.5,259.5,254.5,256.0,256.0,1538
2023-09-12,258.0,258.0,250.0,250.0,250.0,2140
2023-09-13,250.0,251.5,243.0,247.5,247.5,4337
2023-09-14,249.5,253.5,245.5,252.0,252.0,1385
2023-09-15,252.0,253.5,251.0,251.0,251.0,2080
2023-09-18,251.0,253.5,250.0,252.5,252.5,1122
2023-09-19,251.5,253.0,249.0,252.5,252.5,2073
2023-09-20,254.0,254.0,251.0,253.5,253.5,1579
2023-09-21,252.5,253.0,247.5,248.0,248.0,3274
2023-09-22,248.5,251.5,248.0,250.0,250.0,1003
2023-09-25,249.5,249.5,233.5,235.5,235.5,5055
2023-09-26,234.0,234.5,225.0,233.0,233.0,3063
2023-09-27,235.0,245.0,233.5,241.5,241.5,2664
2023-09-28,240.5,241.0,238.5,240.0,240.0,2119
2023-09-29,241.0,252.5,241.0,249.5,249.5,6111
2023-10-02,252.0,259.5,250.0,252.0,252.0,6588
2023-10-03,252.0,254.0,250.5,252.0,252.0,2444
2023-10-04,252.0,252.5,248.5,248.5,248.5,3071
2023-10-05,250.5,254.5,250.0,252.5,252.5,2399
2023-10-06,252.5,254.5,249.5,251.5,251.5,3466
2023-10-09,250.0,250.5,247.0,247.5,247.5,2526
2023-10-10,249.5,254.0,247.5,251.5,251.5,1981
2023-10-11,251.5,258.5,251.0,257.0,257.0,2558
2023-10-12,258.0,259.5,255.0,255.5,255.5,2250
2023-10-13,255.5,255.5,246.5,247.5,247.5,2438
2023-10-16,248.0,250.5,247.0,247.5,247.5,2622
2023-10-17,247.5,250.0,247.0,248.5,248.5,1928
2023-10-18,249.5,250.5,244.0,244.5,244.5,2458
2023-10-19,243.0,243.5,239.5,239.5,239.5,3442
2023-10-20,238.5,239.0,235.5,235.5,235.5,2369
2023-10-23,237.0,242.5,233.5,242.0,242.0,2634
2023-10-24,243.0,249.0,242.0,247.5,247.5,2931
2023-10-25,249.5,252.0,245.0,249.5,249.5,4143
2023-10-26,250.0,261.0,248.0,259.5,259.5,4706
2023-10-27,258.0,264.5,256.0,256.5,256.5,3943
2023-10-30,259.0,260.0,255.5,255.5,255.5,2710
2023-10-31,256.5,259.5,255.0,256.0,256.0,3512
2023-11-01,256.0,258.5,251.0,257.0,257.0,3721
2023-11-02,258.0,263.5,258.0,260.0,260.0,3071
2023-11-03,260.0,260.0,248.0,253.0,253.0,4421
2023-11-06,255.0,255.0,249.0,252.0,252.0,2953
2023-11-07,251.0,251.0,248.5,249.0,249.0,1272
2023-11-08,249.0,253.5,248.0,253.0,253.0,1481
2023-11-09,252.0,255.0,252.0,252.0,252.0,2405
2023-11-10,252.5,259.5,252.5,259.5,259.5,4483
2023-11-13,260.0,266.0,258.5,265.5,265.5,4676
2023-11-14,266.0,274.0,265.0,272.5,272.5,2917
2023-11-15,274.5,278.5,272.5,277.5,277.5,2625
